Mês,Código do Ativo,Sigla do Ativo,CEG do empreendimento,Cód. Parcela de Usina,Sigla da Parcela de Usina,"LIM_MIN_SAZ_MRE p,m","LIM_MAX_SAZ_MRE p,m"
2024-01-01 00:00:00,201,FURNAS,UHE.PH.MG.001007-3.01,956294,FURNAS FURNAS,83494.13,125241.194
2024-02-01 00:00:00,201,FURNAS,UHE.PH.MG.001007-3.01,956294,FURNAS FURNAS,82180.898,123271.346
2024-03-01 00:00:00,201,FURNAS,UHE.PH.MG.001007-3.01,956294,FURNAS FURNAS,88965.185,133447.777
2024-04-01 00:00:00,201,FURNAS,UHE.PH.MG.001007-3.01,956294,FURNAS FURNAS,77959.039,116938.559
2024-05-01 00:00:00,201,FURNAS,UHE.PH.MG.001007-3.01,956294,FURNAS FURNAS,74444.05,111666.076
2024-06-01 00:00:00,201,FURNAS,UHE.PH.MG.001007-3.01,956294,FURNAS FURNAS,66298.228,99447.342
2024-07-01 00:00:00,201,FURNAS,UHE.PH.MG.001007-3.01,956294,FURNAS FURNAS,65128.969,97693.453
2024-08-01 00:00:00,201,FURNAS,UHE.PH.MG.001007-3.01,956294,FURNAS FURNAS,63899.597,95849.395
2024-09-01 00:00:00,201,FURNAS,UHE.PH.MG.001007-3.01,956294,FURNAS FURNAS,62957.754,94436.63
2024-10-01 00:00:00,201,FURNAS,UHE.PH.MG.001007-3.01,956294,FURNAS FURNAS,67300.977,100951.465
2024-11-01 00:00:00,201,FURNAS,UHE.PH.MG.001007-3.01,956294,FURNAS FURNAS,69103.449,103655.173
2024-12-01 00:00:00,201,FURNAS,UHE.PH.MG.001007-3.01,956294,FURNAS FURNAS,76667.726,115001.588
2024-01-01 00:00:00,202,PEIXOTO,UHE.PH.MG.002038-9.01,202,PEIXOTO,200252.321,300378.481
2024-02-01 00:00:00,202,PEIXOTO,UHE.PH.MG.002038-9.01,202,PEIXOTO,197102.666,295653.998
2024-03-01 00:00:00,202,PEIXOTO,UHE.PH.MG.002038-9.01,202,PEIXOTO,213374.098,320061.148
2024-04-01 00:00:00,202,PEIXOTO,UHE.PH.MG.002038-9.01,202,PEIXOTO,186976.959,280465.439
2024-05-01 00:00:00,202,PEIXOTO,UHE.PH.MG.002038-9.01,202,PEIXOTO,178546.61,267819.916
2024-06-01 00:00:00,202,PEIXOTO,UHE.PH.MG.002038-9.01,202,PEIXOTO,159009.67,238514.506
2024-07-01 00:00:00,202,PEIXOTO,UHE.PH.MG.002038-9.01,202,PEIXOTO,156205.318,234307.978
2024-08-01 00:00:00,202,PEIXOTO,UHE.PH.MG.002038-9.01,202,PEIXOTO,153256.793,229885.189
2024-09-01 00:00:00,202,PEIXOTO,UHE.PH.MG.002038-9.01,202,PEIXOTO,150997.875,226496.813
2024-10-01 00:00:00,202,PEIXOTO,UHE.PH.MG.002038-9.01,202,PEIXOTO,161414.663,242121.995
2024-11-01 00:00:00,202,PEIXOTO,UHE.PH.MG.002038-9.01,202,PEIXOTO,165737.712,248606.568
2024-12-01 00:00:00,202,PEIXOTO,UHE.PH.MG.002038-9.01,202,PEIXOTO,183879.873,275819.809
2024-01-01 00:00:00,203,ESTREITO (FURNAS),UHE.PH.SP.000917-2.01,956759,CARLOS BARRETO LIVRE,66421.25,99631.876
2024-02-01 00:00:00,203,ESTREITO (FURNAS),UHE.PH.SP.000917-2.01,956759,CARLOS BARRETO LIVRE,65376.548,98064.822
2024-03-01 00:00:00,203,ESTREITO (FURNAS),UHE.PH.SP.000917-2.01,956759,CARLOS BARRETO LIVRE,70773.584,106160.376
2024-04-01 00:00:00,203,ESTREITO (FURNAS),UHE.PH.SP.000917-2.01,956759,CARLOS BARRETO LIVRE,62017.975,93026.963
2024-05-01 00:00:00,203,ESTREITO (FURNAS),UHE.PH.SP.000917-2.01,956759,CARLOS BARRETO LIVRE,59221.731,88832.597
2024-06-01 00:00:00,203,ESTREITO (FURNAS),UHE.PH.SP.000917-2.01,956759,CARLOS BARRETO LIVRE,52741.566,79112.35
2024-07-01 00:00:00,203,ESTREITO (FURNAS),UHE.PH.SP.000917-2.01,956759,CARLOS BARRETO LIVRE,51811.397,77717.095
2024-08-01 00:00:00,203,ESTREITO (FURNAS),UHE.PH.SP.000917-2.01,956759,CARLOS BARRETO LIVRE,50833.407,76250.111
2024-09-01 00:00:00,203,ESTREITO (FURNAS),UHE.PH.SP.000917-2.01,956759,CARLOS BARRETO LIVRE,50084.152,75126.228
2024-10-01 00:00:00,203,ESTREITO (FURNAS),UHE.PH.SP.000917-2.01,956759,CARLOS BARRETO LIVRE,53539.274,80308.91
2024-11-01 00:00:00,203,ESTREITO (FURNAS),UHE.PH.SP.000917-2.01,956759,CARLOS BARRETO LIVRE,54973.176,82459.764
2024-12-01 00:00:00,203,ESTREITO (FURNAS),UHE.PH.SP.000917-2.01,956759,CARLOS BARRETO LIVRE,60990.709,91486.063
2024-01-01 00:00:00,204,PORTO COLOMBIA,UHE.PH.MG.002117-2.01,956293,PORTO COLÔMBIA,27439.511,41159.267
2024-02-01 00:00:00,204,PORTO COLOMBIA,UHE.PH.MG.002117-2.01,956293,PORTO COLÔMBIA,27007.93,40511.896
2024-03-01 00:00:00,204,PORTO COLOMBIA,UHE.PH.MG.002117-2.01,956293,PORTO COLÔMBIA,29237.518,43856.278
2024-04-01 00:00:00,204,PORTO COLOMBIA,UHE.PH.MG.002117-2.01,956293,PORTO COLÔMBIA,25620.458,38430.688
2024-05-01 00:00:00,204,PORTO COLOMBIA,UHE.PH.MG.002117-2.01,956293,PORTO COLÔMBIA,24465.293,36697.939
2024-06-01 00:00:00,204,PORTO COLOMBIA,UHE.PH.MG.002117-2.01,956293,PORTO COLÔMBIA,21788.25,32682.374
2024-07-01 00:00:00,204,PORTO COLOMBIA,UHE.PH.MG.002117-2.01,956293,PORTO COLÔMBIA,21403.984,32105.976
2024-08-01 00:00:00,204,PORTO COLOMBIA,UHE.PH.MG.002117-2.01,956293,PORTO COLÔMBIA,20999.963,31499.945
2024-09-01 00:00:00,204,PORTO COLOMBIA,UHE.PH.MG.002117-2.01,956293,PORTO COLÔMBIA,20690.436,31035.654
2024-10-01 00:00:00,204,PORTO COLOMBIA,UHE.PH.MG.002117-2.01,956293,PORTO COLÔMBIA,22117.793,33176.689
2024-11-01 00:00:00,204,PORTO COLOMBIA,UHE.PH.MG.002117-2.01,956293,PORTO COLÔMBIA,22710.158,34065.236
2024-12-01 00:00:00,204,PORTO COLOMBIA,UHE.PH.MG.002117-2.01,956293,PORTO COLÔMBIA,25196.082,37794.122
2024-01-01 00:00:00,205,MARIMBONDO,UHE.PH.MG.001417-6.01,956314,MARIMBONDO FURNAS,92003.851,138005.777
2024-02-01 00:00:00,205,MARIMBONDO,UHE.PH.MG.001417-6.01,956314,MARIMBONDO FURNAS,90556.775,135835.163
2024-03-01 00:00:00,205,MARIMBONDO,UHE.PH.MG.001417-6.01,956314,MARIMBONDO FURNAS,98032.516,147048.774
2024-04-01 00:00:00,205,MARIMBONDO,UHE.PH.MG.001417-6.01,956314,MARIMBONDO FURNAS,85904.625,128856.937
2024-05-01 00:00:00,205,MARIMBONDO,UHE.PH.MG.001417-6.01,956314,MARIMBONDO FURNAS,82031.388,123047.082
2024-06-01 00:00:00,205,MARIMBONDO,UHE.PH.MG.001417-6.01,956314,MARIMBONDO FURNAS,73055.343,109583.015
2024-07-01 00:00:00,205,MARIMBONDO,UHE.PH.MG.001417-6.01,956314,MARIMBONDO FURNAS,71766.913,107650.369
2024-08-01 00:00:00,205,MARIMBONDO,UHE.PH.MG.001417-6.01,956314,MARIMBONDO FURNAS,70412.244,105618.366
2024-09-01 00:00:00,205,MARIMBONDO,UHE.PH.MG.001417-6.01,956314,MARIMBONDO FURNAS,69374.407,104061.611
2024-10-01 00:00:00,205,MARIMBONDO,UHE.PH.MG.001417-6.01,956314,MARIMBONDO FURNAS,74160.293,111240.439
2024-11-01 00:00:00,205,MARIMBONDO,UHE.PH.MG.001417-6.01,956314,MARIMBONDO FURNAS,76146.473,114219.709
2024-12-01 00:00:00,205,MARIMBONDO,UHE.PH.MG.001417-6.01,956314,MARIMBONDO FURNAS,84481.7,126722.55
2024-01-01 00:00:00,206,ITUMBIARA (FURNAS),UHE.PH.MG.001194-0.01,206,ITUMBIARA (FURNAS),633820.638,950730.958
2024-02-01 00:00:00,206,ITUMBIARA (FURNAS),UHE.PH.MG.001194-0.01,206,ITUMBIARA (FURNAS),623851.633,935777.449
2024-03-01 00:00:00,206,ITUMBIARA (FURNAS),UHE.PH.MG.001194-0.01,206,ITUMBIARA (FURNAS),675352.509,1013028.763
2024-04-01 00:00:00,206,ITUMBIARA (FURNAS),UHE.PH.MG.001194-0.01,206,ITUMBIARA (FURNAS),591802.658,887703.988
2024-05-01 00:00:00,206,ITUMBIARA (FURNAS),UHE.PH.MG.001194-0.01,206,ITUMBIARA (FURNAS),565119.675,847679.513
2024-06-01 00:00:00,206,ITUMBIARA (FURNAS),UHE.PH.MG.001194-0.01,206,ITUMBIARA (FURNAS),503283.11,754924.664
2024-07-01 00:00:00,206,ITUMBIARA (FURNAS),UHE.PH.MG.001194-0.01,206,ITUMBIARA (FURNAS),494407.026,741610.54
2024-08-01 00:00:00,206,ITUMBIARA (FURNAS),UHE.PH.MG.001194-0.01,206,ITUMBIARA (FURNAS),485074.619,727611.929
2024-09-01 00:00:00,206,ITUMBIARA (FURNAS),UHE.PH.MG.001194-0.01,206,ITUMBIARA (FURNAS),477924.896,716887.344
2024-10-01 00:00:00,206,ITUMBIARA (FURNAS),UHE.PH.MG.001194-0.01,206,ITUMBIARA (FURNAS),510895.177,766342.765
2024-11-01 00:00:00,206,ITUMBIARA (FURNAS),UHE.PH.MG.001194-0.01,206,ITUMBIARA (FURNAS),524578.102,786867.152
2024-12-01 00:00:00,206,ITUMBIARA (FURNAS),UHE.PH.MG.001194-0.01,206,ITUMBIARA (FURNAS),582000.037,873000.055
2024-01-01 00:00:00,207,FUNIL (FURNAS),UHE.PH.RJ.027118-7.01,956295,FUNIL FURNAS,13679.678,20519.518
